1.5186 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.6599 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.0124 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F2354D1130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F23BA0A6D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0125 	EXP 	window1: mouseVisible = True
6.0125 	EXP 	window1: mouseVisible = False
6.0125 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.0125 	EXP 	window1: recordFrameIntervals = False
6.0539 	EXP 	window1: recordFrameIntervals = True
6.0881 	WARNING 	t of last frame was 5.03ms (=1/199)
6.1004 	EXP 	Screen (0) actual frame rate measured at 237.41Hz
6.1004 	EXP 	window1: recordFrameIntervals = False
7.7688 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
7.7855 	EXP 	window1: mouseVisible = True
7.7856 	EXP 	window1: mouseVisible = True
7.7939 	EXP 	textbox: autoLog = True
7.7939 	EXP 	text: height = 0.05
7.7939 	EXP 	text: height = 0.05
7.7939 	EXP 	text: height = 0.05
